Rodada,Mandante,Placar,Visitante
17,Botafogo, x ,Corinthians
17,Palmeiras, x ,Grêmio
17,São Paulo, x ,Fluminense
17,Mirassol, x ,Vitória
17,Cruzeiro, x ,Ceará
17,Internacional, x ,Vasco
17,Bahia, x ,Juventude
17,Fortaleza, x ,Bragantino
17,Sport, x ,Santos
18,Fluminense, x ,Grêmio
18,Botafogo, x ,Cruzeiro
18,Corinthians, x ,Fortaleza
18,Santos, x ,Juventude
18,Mirassol, x ,Vasco
18,Atlético-MG, x ,Bragantino
18,Internacional, x ,São Paulo
18,Vitória, x ,Palmeiras
18,Ceará, x ,Flamengo
18,Sport, x ,Bahia
19,Flamengo, x ,Mirassol
19,Vasco, x ,Atlético-MG
19,Palmeiras, x ,Ceará
19,São Paulo, x ,Vitória
19,Bragantino, x ,Internacional
19,Cruzeiro, x ,Santos
19,Grêmio, x ,Sport
19,Bahia, x ,Fluminense
19,Fortaleza, x ,Botafogo
19,Juventude, x ,Corinthians
20,Fluminense, x ,Fortaleza
20,Botafogo, x ,Palmeiras
20,Corinthians, x ,Bahia
20,Santos, x ,Vasco
20,Mirassol, x ,Cruzeiro
20,Atlético-MG, x ,Grêmio
20,Internacional, x ,Flamengo
20,Vitória, x ,Juventude
20,Ceará, x ,Bragantino
20,Sport, x ,São Paulo
21,Flamengo, x ,Vitória
21,Vasco, x ,Corinthians
21,Palmeiras, x ,Sport
21,São Paulo, x ,Atlético-MG
21,Bragantino, x ,Fluminense
21,Cruzeiro, x ,Internacional
21,Grêmio, x ,Ceará
21,Bahia, x ,Santos
21,Fortaleza, x ,Mirassol
21,Juventude, x ,Botafogo
22,Flamengo, x ,Grêmio
22,Botafogo, x ,Bragantino
22,Corinthians, x ,Palmeiras
22,Santos, x ,Fluminense
22,Mirassol, x ,Bahia
22,Cruzeiro, x ,São Paulo
22,Internacional, x ,Fortaleza
22,Vitória, x ,Atlético-MG
22,Ceará, x ,Juventude
22,Sport, x ,Vasco
23,Fluminense, x ,Corinthians
23,Vasco, x ,Ceará
23,Palmeiras, x ,Internacional
23,São Paulo, x ,Botafogo
23,Bragantino, x ,Sport
23,Atlético-MG, x ,Santos
23,Grêmio, x ,Mirassol
23,Bahia, x ,Cruzeiro
23,Fortaleza, x ,Vitória
23,Juventude, x ,Flamengo
24,Flamengo, x ,Vasco
24,Botafogo, x ,Atlético-MG
24,Palmeiras, x ,Fortaleza
24,Santos, x ,São Paulo
24,Mirassol, x ,Juventude
24,Cruzeiro, x ,Bragantino
24,Internacional, x ,Grêmio
24,Vitória, x ,Fluminense
24,Ceará, x ,Bahia
24,Sport, x ,Corinthians
25,Fluminense, x ,Botafogo
25,Vasco, x ,Cruzeiro
25,Corinthians, x ,Flamengo
25,São Paulo, x ,Ceará
25,Bragantino, x ,Santos
25,Atlético-MG, x ,Mirassol
25,Grêmio, x ,Vitória
25,Bahia, x ,Palmeiras
25,Fortaleza, x ,Sport
