Mandante,Placar,Visitante,Rodada,Coringa,Jogador
Santos,2 x 1,Bahia,2,NÃO,LUCCA
Mirassol,1 x 0,Fortaleza,2,NÃO,LUCCA
Sport,0 x 1,Palmeiras,2,NÃO,LUCCA
Fluminense,2 x 0,Bragantino,2,NÃO,LUCCA
Vitória,1 x 2,Flamengo,2,NÃO,LUCCA
Ceará,1 x 0,Grêmio,2,NÃO,LUCCA
Internacional,2 x 2,Cruzeiro,2,SIM,LUCCA
Palmeiras,1 x 1,Corinthians,3,SIM,LUCCA
Vasco,2 x 0,Sport,3,NÃO,LUCCA
Fluminense,1 x 1,Santos,3,NÃO,LUCCA
São Paulo,1 x 0,Cruzeiro,3,NÃO,LUCCA
Bragantino,1 x 0,Botafogo,3,NÃO,LUCCA
Atlético-MG,3 x 0,Vitória,3,NÃO,LUCCA
Juventude,1 x 2,Ceará,3,NÃO,LUCCA
Bahia,4 x 0,Mirassol,3,NÃO,LUCCA
Fortaleza,1 x 0,Internacional,3,NÃO,LUCCA
Grêmio,0 x 2,Flamengo,3,SIM,LUCCA
Santos,2 x 1,Atlético-MG,4,SIM,LUCCA
Botafogo,2 x 1,São Paulo,4,NÃO,LUCCA
Corinthians,2 x 0,Fluminense,4,NÃO,LUCCA
Flamengo,4 x 0,Juventude,4,NÃO,LUCCA
Mirassol,1 x 1,Grêmio,4,NÃO,LUCCA
Cruzeiro,2 x 1,Bahia,4,NÃO,LUCCA
Sport,1 x 0,Bragantino,4,NÃO,LUCCA
Vitória,2 x 0,Fortaleza,4,NÃO,LUCCA
Ceará,2 x 0,Vasco,4,NÃO,LUCCA
Internacional,1 x 0,Palmeiras,4,SIM,LUCCA
Vasco,0 x 2,Flamengo,5,SIM,LUCCA
Fluminense,2 x 0,Vitória,5,NÃO,LUCCA
Corinthians,3 x 0,Sport,5,NÃO,LUCCA
São Paulo,2 x 1,Santos,5,NÃO,LUCCA
Bragantino,1 x 2,Cruzeiro,5,NÃO,LUCCA
Atlético-MG,2 x 1,Botafogo,5,NÃO,LUCCA
Juventude,2 x 0,Mirassol,5,NÃO,LUCCA
Bahia,2 x 0,Ceará,5,NÃO,LUCCA
Fortaleza,1 x 0,Palmeiras,5,NÃO,LUCCA
Grêmio,1 x 2,Internacional,5,SIM,LUCCA
Flamengo,1 x 0,Corinthians,6,SIM,LUCCA
Sport,1 x 0,Fortaleza,6,NÃO,LUCCA
Palmeiras,1 x 0,Bahia,6,NÃO,LUCCA
Santos,2 x 0,Bragantino,6,NÃO,LUCCA
Mirassol,0 x 2,Atlético-MG,6,NÃO,LUCCA
Cruzeiro,2 x 0,Vasco,6,NÃO,LUCCA
Internacional,3 x 0,Juventude,6,NÃO,LUCCA
Vitória,1 x 1,Grêmio,6,NÃO,LUCCA
Ceará,1 x 0,São Paulo,6,NÃO,LUCCA
Botafogo,2 x 1,Fluminense,6,SIM,LUCCA
Vasco,2 x 1,Palmeiras,7,SIM,LUCCA
Fluminense,2 x 1,Sport,7,NÃO,LUCCA
Corinthians,2 x 1,Internacional,7,NÃO,LUCCA
São Paulo,2 x 0,Fortaleza,7,NÃO,LUCCA
Bragantino,2 x 1,Mirassol,7,NÃO,LUCCA
Juventude,1 x 1,Atlético-MG,7,NÃO,LUCCA
Grêmio,1 x 0,Santos,7,NÃO,LUCCA
Bahia,1 x 0,Botafogo,7,NÃO,LUCCA
Ceará,1 x 0,Vitória,7,NÃO,LUCCA
Cruzeiro,1 x 1,Flamengo,7,SIM,LUCCA
Botafogo,2 x 1,Internacional,8,SIM,LUCCA
Sport,1 x 0,Cruzeiro,8,NÃO,LUCCA
Flamengo,2 x 0,Bahia,8,NÃO,LUCCA
Santos,2 x 0,Ceará,8,NÃO,LUCCA
Mirassol,0 x 1,Corinthians,8,NÃO,LUCCA
Atlético-MG,2 x 1,Fluminense,8,NÃO,LUCCA
Grêmio,1 x 0,Bragantino,8,NÃO,LUCCA
Vitória,1 x 0,Vasco,8,NÃO,LUCCA
Fortaleza,3 x 0,Juventude,8,NÃO,LUCCA
Palmeiras,2 x 2,São Paulo,8,SIM,LUCCA
Flamengo,3 x 1,Internacional,1,SIM,NALDIN
Vasco,2 x 1,Santos,1,NÃO,NALDIN
Juventude,1 x 1,Vitória,1,NÃO,NALDIN
São Paulo,2 x 0,Sport,1,NÃO,NALDIN
Bragantino,2 x 1,Ceará,1,NÃO,NALDIN
Cruzeiro,2 x 0,Mirassol,1,NÃO,NALDIN
Grêmio,2 x 3,Atlético-MG,1,NÃO,NALDIN
Bahia,2 x 2,Corinthians,1,NÃO,NALDIN
Fortaleza,2 x 1,Fluminense,1,NÃO,NALDIN
Palmeiras,1 x 0,Botafogo,1,SIM,NALDIN
Atlético-MG,2 x 1,São Paulo,2,SIM,NALDIN
Botafogo,2 x 0,Juventude,2,NÃO,NALDIN
Corinthians,3 x 1,Vasco,2,NÃO,NALDIN
Santos,2 x 1,Bahia,2,NÃO,NALDIN
Mirassol,2 x 2,Fortaleza,2,NÃO,NALDIN
Sport,0 x 1,Palmeiras,2,NÃO,NALDIN
Fluminense,3 x 2,Bragantino,2,NÃO,NALDIN
Vitória,1 x 2,Flamengo,2,NÃO,NALDIN
Ceará,1 x 1,Grêmio,2,NÃO,NALDIN
Internacional,3 x 1,Cruzeiro,2,SIM,NALDIN
Palmeiras,1 x 2,Corinthians,3,SIM,NALDIN
Vasco,1 x 0,Sport,3,NÃO,NALDIN
Fluminense,2 x 1,Santos,3,NÃO,NALDIN
São Paulo,3 x 2,Cruzeiro,3,NÃO,NALDIN
Bragantino,1 x 1,Botafogo,3,NÃO,NALDIN
Atlético-MG,2 x 0,Vitória,3,NÃO,NALDIN
Juventude,2 x 1,Ceará,3,NÃO,NALDIN
Bahia,3 x 0,Mirassol,3,NÃO,NALDIN
Fortaleza,1 x 2,Internacional,3,NÃO,NALDIN
Grêmio,1 x 2,Flamengo,3,SIM,NALDIN
Santos,2 x 1,Atlético-MG,4,SIM,NALDIN
Botafogo,3 x 2,São Paulo,4,NÃO,NALDIN
Corinthians,1 x 1,Fluminense,4,NÃO,NALDIN
Flamengo,2 x 0,Juventude,4,NÃO,NALDIN
Mirassol,1 x 0,Grêmio,4,NÃO,NALDIN
Cruzeiro,2 x 1,Bahia,4,NÃO,NALDIN
Sport,1 x 0,Bragantino,4,NÃO,NALDIN
Vitória,2 x 1,Fortaleza,4,NÃO,NALDIN
Ceará,2 x 2,Vasco,4,NÃO,NALDIN
Internacional,2 x 0,Palmeiras,4,SIM,NALDIN
Vasco,1 x 1,Flamengo,5,SIM,NALDIN
Fluminense,2 x 0,Vitória,5,NÃO,NALDIN
Corinthians,3 x 1,Sport,5,NÃO,NALDIN
São Paulo,2 x 2,Santos,5,NÃO,NALDIN
Bragantino,1 x 2,Cruzeiro,5,NÃO,NALDIN
Atlético-MG,2 x 2,Botafogo,5,NÃO,NALDIN
Juventude,2 x 0,Mirassol,5,NÃO,NALDIN
Bahia,3 x 2,Ceará,5,NÃO,NALDIN
Fortaleza,2 x 1,Palmeiras,5,NÃO,NALDIN
Grêmio,0 x 1,Internacional,5,SIM,NALDIN
Flamengo,2 x 0,Corinthians,6,SIM,NALDIN
Sport,1 x 0,Fortaleza,6,NÃO,NALDIN
Palmeiras,2 x 1,Bahia,6,NÃO,NALDIN
Santos,3 x 1,Bragantino,6,NÃO,NALDIN
Mirassol,0 x 3,Atlético-MG,6,NÃO,NALDIN
Cruzeiro,1 x 1,Vasco,6,NÃO,NALDIN
Internacional,3 x 1,Juventude,6,NÃO,NALDIN
Vitória,1 x 0,Grêmio,6,NÃO,NALDIN
Ceará,2 x 1,São Paulo,6,NÃO,NALDIN
Botafogo,2 x 0,Fluminense,6,SIM,NALDIN
Vasco,0 x 1,Palmeiras,7,SIM,NALDIN
Fluminense,2 x 0,Sport,7,NÃO,NALDIN
Corinthians,1 x 1,Internacional,7,NÃO,NALDIN
São Paulo,3 x 2,Fortaleza,7,NÃO,NALDIN
Bragantino,2 x 1,Mirassol,7,NÃO,NALDIN
Juventude,1 x 0,Atlético-MG,7,NÃO,NALDIN
Grêmio,2 x 1,Santos,7,NÃO,NALDIN
Bahia,2 x 1,Botafogo,7,NÃO,NALDIN
Ceará,2 x 2,Vitória,7,NÃO,NALDIN
Cruzeiro,1 x 1,Flamengo,7,SIM,NALDIN
Botafogo,3 x 1,Internacional,8,SIM,NALDIN
Sport,1 x 1,Cruzeiro,8,NÃO,NALDIN
Flamengo,2 x 0,Bahia,8,NÃO,NALDIN
Santos,2 x 1,Ceará,8,NÃO,NALDIN
Mirassol,1 x 0,Corinthians,8,NÃO,NALDIN
Atlético-MG,2 x 2,Fluminense,8,NÃO,NALDIN
Grêmio,0 x 0,Bragantino,8,NÃO,NALDIN
Vitória,1 x 1,Vasco,8,NÃO,NALDIN
Fortaleza,2 x 1,Juventude,8,NÃO,NALDIN
Palmeiras,2 x 1,São Paulo,8,SIM,NALDIN
Flamengo,1 x 0,Internacional,1,SIM,THIAGO
Vasco,1 x 0,Santos,1,NÃO,THIAGO
Juventude,1 x 0,Vitória,1,NÃO,THIAGO
São Paulo,1 x 0,Sport,1,NÃO,THIAGO
Bragantino,1 x 0,Ceará,1,NÃO,THIAGO
Cruzeiro,2 x 0,Mirassol,1,NÃO,THIAGO
Grêmio,1 x 2,Atlético-MG,1,NÃO,THIAGO
Bahia,2 x 1,Corinthians,1,NÃO,THIAGO
Fortaleza,2 x 1,Fluminense,1,NÃO,THIAGO
Palmeiras,2 x 1,Botafogo,1,SIM,THIAGO
Atlético-MG,2 x 1,São Paulo,2,SIM,THIAGO
Botafogo,2 x 0,Juventude,2,NÃO,THIAGO
Corinthians,1 x 0,Vasco,2,NÃO,THIAGO
Santos,1 x 0,Bahia,2,NÃO,THIAGO
Mirassol,1 x 0,Fortaleza,2,NÃO,THIAGO
Sport,0 x 1,Palmeiras,2,NÃO,THIAGO
Fluminense,1 x 0,Bragantino,2,NÃO,THIAGO
Vitória,1 x 2,Flamengo,2,NÃO,THIAGO
Ceará,2 x 1,Grêmio,2,NÃO,THIAGO
Internacional,2 x 1,Cruzeiro,2,SIM,THIAGO
Palmeiras,2 x 1,Corinthians,3,SIM,THIAGO
Vasco,2 x 1,Sport,3,NÃO,THIAGO
Fluminense,2 x 1,Santos,3,NÃO,THIAGO
São Paulo,2 x 1,Cruzeiro,3,NÃO,THIAGO
Bragantino,2 x 1,Botafogo,3,NÃO,THIAGO
Atlético-MG,1 x 0,Vitória,3,NÃO,THIAGO
Juventude,1 x 0,Ceará,3,NÃO,THIAGO
Bahia,1 x 0,Mirassol,3,NÃO,THIAGO
Fortaleza,0 x 1,Internacional,3,NÃO,THIAGO
Grêmio,1 x 0,Flamengo,3,SIM,THIAGO
Santos,1 x 2,Atlético-MG,4,SIM,THIAGO
Botafogo,1 x 0,São Paulo,4,NÃO,THIAGO
Corinthians,1 x 0,Fluminense,4,NÃO,THIAGO
Flamengo,2 x 0,Juventude,4,NÃO,THIAGO
Mirassol,1 x 0,Grêmio,4,NÃO,THIAGO
Cruzeiro,2 x 1,Bahia,4,NÃO,THIAGO
Sport,2 x 1,Bragantino,4,NÃO,THIAGO
Vitória,2 x 1,Fortaleza,4,NÃO,THIAGO
Ceará,1 x 2,Vasco,4,NÃO,THIAGO
Internacional,1 x 1,Palmeiras,4,SIM,THIAGO
Vasco,2 x 1,Flamengo,5,SIM,THIAGO
Fluminense,2 x 0,Vitória,5,NÃO,THIAGO
Corinthians,2 x 0,Sport,5,NÃO,THIAGO
São Paulo,2 x 1,Santos,5,NÃO,THIAGO
Bragantino,2 x 1,Cruzeiro,5,NÃO,THIAGO
Atlético-MG,2 x 1,Botafogo,5,NÃO,THIAGO
Juventude,1 x 0,Mirassol,5,NÃO,THIAGO
Bahia,1 x 0,Ceará,5,NÃO,THIAGO
Fortaleza,0 x 1,Palmeiras,5,NÃO,THIAGO
Grêmio,1 x 1,Internacional,5,SIM,THIAGO
Flamengo,2 x 1,Corinthians,6,SIM,THIAGO
Sport,1 x 0,Fortaleza,6,NÃO,THIAGO
Palmeiras,1 x 0,Bahia,6,NÃO,THIAGO
Santos,1 x 0,Bragantino,6,NÃO,THIAGO
Mirassol,0 x 1,Atlético-MG,6,NÃO,THIAGO
Cruzeiro,0 x 1,Vasco,6,NÃO,THIAGO
Internacional,2 x 1,Juventude,6,NÃO,THIAGO
Vitória,2 x 1,Grêmio,6,NÃO,THIAGO
Ceará,1 x 1,São Paulo,6,NÃO,THIAGO
Botafogo,2 x 1,Fluminense,6,SIM,THIAGO
Vasco,2 x 1,Palmeiras,7,SIM,THIAGO
Fluminense,2 x 0,Sport,7,NÃO,THIAGO
Corinthians,2 x 1,Internacional,7,NÃO,THIAGO
São Paulo,2 x 1,Fortaleza,7,NÃO,THIAGO
Bragantino,2 x 0,Mirassol,7,NÃO,THIAGO
Juventude,1 x 2,Atlético-MG,7,NÃO,THIAGO
Grêmio,2 x 1,Santos,7,NÃO,THIAGO
Bahia,1 x 0,Botafogo,7,NÃO,THIAGO
Ceará,1 x 0,Vitória,7,NÃO,THIAGO
Cruzeiro,1 x 1,Flamengo,7,SIM,THIAGO
Botafogo,1 x 0,Internacional,8,SIM,THIAGO
Sport,1 x 0,Cruzeiro,8,NÃO,THIAGO
Flamengo,1 x 0,Bahia,8,NÃO,THIAGO
Santos,1 x 0,Ceará,8,NÃO,THIAGO
Mirassol,0 x 1,Corinthians,8,NÃO,THIAGO
Atlético-MG,2 x 1,Fluminense,8,NÃO,THIAGO
Grêmio,2 x 1,Bragantino,8,NÃO,THIAGO
Vitória,1 x 2,Vasco,8,NÃO,THIAGO
Fortaleza,2 x 1,Juventude,8,NÃO,THIAGO
Palmeiras,2 x 1,São Paulo,8,SIM,THIAGO
Flamengo,2 x 1,Internacional,1,SIM,BOLINHA
Vasco,2 x 1,Santos,1,NÃO,BOLINHA
Juventude,1 x 0,Vitória,1,NÃO,BOLINHA
São Paulo,2 x 0,Sport,1,NÃO,BOLINHA
Bragantino,1 x 0,Ceará,1,NÃO,BOLINHA
Cruzeiro,2 x 0,Mirassol,1,NÃO,BOLINHA
Grêmio,1 x 2,Atlético-MG,1,NÃO,BOLINHA
Bahia,2 x 1,Corinthians,1,NÃO,BOLINHA
Fortaleza,1 x 1,Fluminense,1,NÃO,BOLINHA
Palmeiras,2 x 1,Botafogo,1,SIM,BOLINHA
Atlético-MG,2 x 1,São Paulo,2,SIM,BOLINHA
Botafogo,2 x 0,Juventude,2,NÃO,BOLINHA
Corinthians,1 x 0,Vasco,2,NÃO,BOLINHA
Santos,2 x 1,Bahia,2,NÃO,BOLINHA
Mirassol,1 x 0,Fortaleza,2,NÃO,BOLINHA
Sport,0 x 1,Palmeiras,2,NÃO,BOLINHA
Fluminense,2 x 0,Bragantino,2,NÃO,BOLINHA
Vitória,0 x 2,Flamengo,2,NÃO,BOLINHA
Ceará,2 x 1,Grêmio,2,NÃO,BOLINHA
Internacional,1 x 0,Cruzeiro,2,SIM,BOLINHA
Palmeiras,2 x 1,Corinthians,3,SIM,BOLINHA
Vasco,2 x 0,Sport,3,NÃO,BOLINHA
Fluminense,2 x 0,Santos,3,NÃO,BOLINHA
São Paulo,2 x 1,Cruzeiro,3,NÃO,BOLINHA
Bragantino,1 x 1,Botafogo,3,NÃO,BOLINHA
Atlético-MG,2 x 0,Vitória,3,NÃO,BOLINHA
Juventude,1 x 0,Ceará,3,NÃO,BOLINHA
Bahia,2 x 0,Mirassol,3,NÃO,BOLINHA
Fortaleza,1 x 2,Internacional,3,NÃO,BOLINHA
Grêmio,0 x 2,Flamengo,3,SIM,BOLINHA
Santos,1 x 2,Atlético-MG,4,SIM,BOLINHA
Botafogo,1 x 0,São Paulo,4,NÃO,BOLINHA
Corinthians,1 x 0,Fluminense,4,NÃO,BOLINHA
Flamengo,2 x 0,Juventude,4,NÃO,BOLINHA
Mirassol,1 x 1,Grêmio,4,NÃO,BOLINHA
Cruzeiro,2 x 1,Bahia,4,NÃO,BOLINHA
Sport,1 x 0,Bragantino,4,NÃO,BOLINHA
Vitória,2 x 1,Fortaleza,4,NÃO,BOLINHA
Ceará,1 x 1,Vasco,4,NÃO,BOLINHA
Internacional,1 x 0,Palmeiras,4,SIM,BOLINHA
Vasco,1 x 2,Flamengo,5,SIM,BOLINHA
Fluminense,2 x 0,Vitória,5,NÃO,BOLINHA
Corinthians,2 x 0,Sport,5,NÃO,BOLINHA
São Paulo,1 x 0,Santos,5,NÃO,BOLINHA
Bragantino,2 x 1,Cruzeiro,5,NÃO,BOLINHA
Atlético-MG,1 x 0,Botafogo,5,NÃO,BOLINHA
