Mandante,Placar,Visitante,Rodada,Coringa,Jogador
Cruzeiro,2 x 0,Vasco,6,NÃO,WILLIAN
Internacional,2 x 0,Juventude,6,NÃO,WILLIAN
Vitória,1 x 0,Grêmio,6,NÃO,WILLIAN
Ceará,1 x 0,São Paulo,6,NÃO,WILLIAN
Botafogo,0 x 1,Fluminense,6,SIM,WILLIAN
Vasco,0 x 2,Palmeiras,7,SIM,WILLIAN
Fluminense,2 x 0,Sport,7,NÃO,WILLIAN
Corinthians,1 x 0,Internacional,7,NÃO,WILLIAN
São Paulo,2 x 0,Fortaleza,7,NÃO,WILLIAN
Bragantino,2 x 0,Mirassol,7,NÃO,WILLIAN
Juventude,0 x 1,Atlético-MG,7,NÃO,WILLIAN
Grêmio,1 x 0,Santos,7,NÃO,WILLIAN
Bahia,1 x 0,Botafogo,7,NÃO,WILLIAN
Ceará,1 x 0,Vitória,7,NÃO,WILLIAN
Cruzeiro,2 x 0,Flamengo,7,SIM,WILLIAN
Botafogo,1 x 0,Internacional,8,SIM,WILLIAN
Sport,0 x 1,Cruzeiro,8,NÃO,WILLIAN
Flamengo,2 x 0,Bahia,8,NÃO,WILLIAN
Santos,2 x 0,Ceará,8,NÃO,WILLIAN
Mirassol,0 x 1,Corinthians,8,NÃO,WILLIAN
Atlético-MG,1 x 0,Fluminense,8,NÃO,WILLIAN
Grêmio,2 x 0,Bragantino,8,NÃO,WILLIAN
Vitória,2 x 0,Vasco,8,NÃO,WILLIAN
Fortaleza,2 x 0,Juventude,8,NÃO,WILLIAN
Palmeiras,1 x 0,São Paulo,8,SIM,WILLIAN
Flamengo,2 x 1,Internacional,1,SIM,TOINHO
Vasco,1 x 0,Santos,1,NÃO,TOINHO
Juventude,2 x 0,Vitória,1,NÃO,TOINHO
São Paulo,2 x 0,Sport,1,NÃO,TOINHO
Bragantino,1 x 0,Ceará,1,NÃO,TOINHO
Cruzeiro,2 x 0,Mirassol,1,NÃO,TOINHO
Grêmio,1 x 1,Atlético-MG,1,NÃO,TOINHO
Bahia,1 x 0,Corinthians,1,NÃO,TOINHO
Fortaleza,1 x 2,Fluminense,1,NÃO,TOINHO
Palmeiras,2 x 1,Botafogo,1,SIM,TOINHO
Atlético-MG,2 x 1,São Paulo,2,SIM,TOINHO
Botafogo,2 x 0,Juventude,2,NÃO,TOINHO
Corinthians,2 x 0,Vasco,2,NÃO,TOINHO
Santos,2 x 1,Bahia,2,NÃO,TOINHO
Mirassol,1 x 0,Fortaleza,2,NÃO,TOINHO
Sport,1 x 2,Palmeiras,2,NÃO,TOINHO
Fluminense,2 x 0,Bragantino,2,NÃO,TOINHO
Vitória,0 x 2,Flamengo,2,NÃO,TOINHO
Ceará,1 x 0,Grêmio,2,NÃO,TOINHO
Internacional,2 x 1,Cruzeiro,2,SIM,TOINHO
Palmeiras,2 x 1,Corinthians,3,SIM,TOINHO
Vasco,2 x 1,Sport,3,NÃO,TOINHO
Fluminense,2 x 1,Santos,3,NÃO,TOINHO
São Paulo,2 x 1,Cruzeiro,3,NÃO,TOINHO
Bragantino,1 x 2,Botafogo,3,NÃO,TOINHO
Atlético-MG,2 x 0,Vitória,3,NÃO,TOINHO
Juventude,2 x 0,Ceará,3,NÃO,TOINHO
Bahia,2 x 0,Mirassol,3,NÃO,TOINHO
Fortaleza,1 x 0,Internacional,3,NÃO,TOINHO
Grêmio,1 x 1,Flamengo,3,SIM,TOINHO
Santos,1 x 0,Atlético-MG,4,SIM,TOINHO
Botafogo,1 x 0,São Paulo,4,NÃO,TOINHO
Corinthians,1 x 2,Fluminense,4,NÃO,TOINHO
Flamengo,3 x 0,Juventude,4,NÃO,TOINHO
Mirassol,1 x 1,Grêmio,4,NÃO,TOINHO
Cruzeiro,2 x 1,Bahia,4,NÃO,TOINHO
Sport,1 x 0,Bragantino,4,NÃO,TOINHO
Vitória,1 x 1,Fortaleza,4,NÃO,TOINHO
Ceará,1 x 0,Vasco,4,NÃO,TOINHO
Internacional,2 x 1,Palmeiras,4,SIM,TOINHO
Vasco,1 x 1,Flamengo,5,SIM,TOINHO
Fluminense,2 x 0,Vitória,5,NÃO,TOINHO
Corinthians,2 x 0,Sport,5,NÃO,TOINHO
São Paulo,2 x 1,Santos,5,NÃO,TOINHO
Bragantino,1 x 0,Cruzeiro,5,NÃO,TOINHO
Atlético-MG,1 x 0,Botafogo,5,NÃO,TOINHO
Juventude,2 x 1,Mirassol,5,NÃO,TOINHO
Bahia,2 x 0,Ceará,5,NÃO,TOINHO
Fortaleza,1 x 1,Palmeiras,5,NÃO,TOINHO
Grêmio,1 x 1,Internacional,5,SIM,TOINHO
Flamengo,2 x 1,Corinthians,6,SIM,TOINHO
Sport,1 x 1,Fortaleza,6,NÃO,TOINHO
Palmeiras,2 x 0,Bahia,6,NÃO,TOINHO
Santos,2 x 1,Bragantino,6,NÃO,TOINHO
Mirassol,1 x 1,Atlético-MG,6,NÃO,TOINHO
Cruzeiro,2 x 1,Vasco,6,NÃO,TOINHO
Internacional,1 x 0,Juventude,6,NÃO,TOINHO
Vitória,1 x 0,Grêmio,6,NÃO,TOINHO
Ceará,1 x 1,São Paulo,6,NÃO,TOINHO
Botafogo,1 x 2,Fluminense,6,SIM,TOINHO
Vasco,1 x 1,Palmeiras,7,SIM,TOINHO
Fluminense,2 x 0,Sport,7,NÃO,TOINHO
Corinthians,2 x 1,Internacional,7,NÃO,TOINHO
São Paulo,2 x 1,Fortaleza,7,NÃO,TOINHO
Bragantino,2 x 0,Mirassol,7,NÃO,TOINHO
Juventude,1 x 1,Atlético-MG,7,NÃO,TOINHO
Grêmio,2 x 1,Santos,7,NÃO,TOINHO
Bahia,1 x 0,Botafogo,7,NÃO,TOINHO
Ceará,2 x 0,Vitória,7,NÃO,TOINHO
Cruzeiro,1 x 0,Flamengo,7,SIM,TOINHO
Botafogo,2 x 1,Internacional,8,SIM,TOINHO
Sport,1 x 1,Cruzeiro,8,NÃO,TOINHO
Flamengo,1 x 0,Bahia,8,NÃO,TOINHO
Santos,2 x 1,Ceará,8,NÃO,TOINHO
Mirassol,1 x 1,Corinthians,8,NÃO,TOINHO
Atlético-MG,0 x 2,Fluminense,8,NÃO,TOINHO
Grêmio,1 x 0,Bragantino,8,NÃO,TOINHO
Vitória,1 x 1,Vasco,8,NÃO,TOINHO
Fortaleza,1 x 0,Juventude,8,NÃO,TOINHO
Palmeiras,2 x 1,São Paulo,8,SIM,TOINHO
Flamengo,2 x 1,Internacional,1,SIM,RUAN
Vasco,1 x 0,Santos,1,NÃO,RUAN
Juventude,1 x 0,Vitória,1,NÃO,RUAN
São Paulo,2 x 0,Sport,1,NÃO,RUAN
Bragantino,2 x 1,Ceará,1,NÃO,RUAN
Cruzeiro,2 x 0,Mirassol,1,NÃO,RUAN
Grêmio,1 x 1,Atlético-MG,1,NÃO,RUAN
Bahia,1 x 0,Corinthians,1,NÃO,RUAN
Fortaleza,2 x 1,Fluminense,1,NÃO,RUAN
Palmeiras,2 x 1,Botafogo,1,SIM,RUAN
Atlético-MG,2 x 1,São Paulo,2,SIM,RUAN
Botafogo,2 x 1,Juventude,2,NÃO,RUAN
Corinthians,1 x 0,Vasco,2,NÃO,RUAN
Santos,2 x 1,Bahia,2,NÃO,RUAN
Mirassol,0 x 2,Fortaleza,2,NÃO,RUAN
Sport,0 x 1,Palmeiras,2,NÃO,RUAN
Fluminense,2 x 1,Bragantino,2,NÃO,RUAN
Vitória,1 x 2,Flamengo,2,NÃO,RUAN
Ceará,1 x 0,Grêmio,2,NÃO,RUAN
Internacional,1 x 0,Cruzeiro,2,SIM,RUAN
Palmeiras,2 x 1,Corinthians,3,SIM,RUAN
Vasco,2 x 1,Sport,3,NÃO,RUAN
Fluminense,1 x 0,Santos,3,NÃO,RUAN
São Paulo,2 x 0,Cruzeiro,3,NÃO,RUAN
Bragantino,2 x 1,Botafogo,3,NÃO,RUAN
Atlético-MG,2 x 0,Vitória,3,NÃO,RUAN
Juventude,1 x 0,Ceará,3,NÃO,RUAN
Bahia,2 x 0,Mirassol,3,NÃO,RUAN
Fortaleza,0 x 1,Internacional,3,NÃO,RUAN
Grêmio,1 x 2,Flamengo,3,SIM,RUAN
Santos,2 x 1,Atlético-MG,4,SIM,RUAN
Botafogo,2 x 1,São Paulo,4,NÃO,RUAN
Corinthians,1 x 0,Fluminense,4,NÃO,RUAN
Flamengo,2 x 0,Juventude,4,NÃO,RUAN
Mirassol,1 x 0,Grêmio,4,NÃO,RUAN
Cruzeiro,2 x 0,Bahia,4,NÃO,RUAN
Sport,1 x 0,Bragantino,4,NÃO,RUAN
Vitória,1 x 1,Fortaleza,4,NÃO,RUAN
Ceará,0 x 1,Vasco,4,NÃO,RUAN
Internacional,1 x 0,Palmeiras,4,SIM,RUAN
Vasco,1 x 2,Flamengo,5,SIM,RUAN
Fluminense,2 x 0,Vitória,5,NÃO,RUAN
Corinthians,2 x 0,Sport,5,NÃO,RUAN
São Paulo,2 x 1,Santos,5,NÃO,RUAN
Bragantino,2 x 1,Cruzeiro,5,NÃO,RUAN
Atlético-MG,1 x 0,Botafogo,5,NÃO,RUAN
Juventude,1 x 0,Mirassol,5,NÃO,RUAN
Bahia,2 x 1,Ceará,5,NÃO,RUAN
Fortaleza,1 x 1,Palmeiras,5,NÃO,RUAN
Grêmio,1 x 0,Internacional,5,SIM,RUAN
Flamengo,2 x 0,Corinthians,6,SIM,RUAN
Sport,2 x 1,Fortaleza,6,NÃO,RUAN
Palmeiras,2 x 1,Bahia,6,NÃO,RUAN
Santos,1 x 0,Bragantino,6,NÃO,RUAN
Mirassol,0 x 2,Atlético-MG,6,NÃO,RUAN
Cruzeiro,2 x 1,Vasco,6,NÃO,RUAN
Internacional,2 x 0,Juventude,6,NÃO,RUAN
Vitória,1 x 0,Grêmio,6,NÃO,RUAN
Ceará,0 x 1,São Paulo,6,NÃO,RUAN
Botafogo,1 x 1,Fluminense,6,SIM,RUAN
Vasco,1 x 2,Palmeiras,7,SIM,RUAN
Fluminense,2 x 0,Sport,7,NÃO,RUAN
Corinthians,1 x 0,Internacional,7,NÃO,RUAN
São Paulo,2 x 1,Fortaleza,7,NÃO,RUAN
Bragantino,2 x 1,Mirassol,7,NÃO,RUAN
Juventude,0 x 2,Atlético-MG,7,NÃO,RUAN
Grêmio,1 x 0,Santos,7,NÃO,RUAN
Bahia,1 x 0,Botafogo,7,NÃO,RUAN
Ceará,2 x 0,Vitória,7,NÃO,RUAN
Cruzeiro,1 x 2,Flamengo,7,SIM,RUAN
Botafogo,2 x 1,Internacional,8,SIM,RUAN
Sport,1 x 0,Cruzeiro,8,NÃO,RUAN
Flamengo,2 x 0,Bahia,8,NÃO,RUAN
Santos,2 x 0,Ceará,8,NÃO,RUAN
Mirassol,1 x 0,Corinthians,8,NÃO,RUAN
Atlético-MG,1 x 0,Fluminense,8,NÃO,RUAN
Grêmio,2 x 1,Bragantino,8,NÃO,RUAN
Vitória,1 x 0,Vasco,8,NÃO,RUAN
Fortaleza,2 x 0,Juventude,8,NÃO,RUAN
Palmeiras,1 x 0,São Paulo,8,SIM,RUAN
Flamengo,2 x 1,Internacional,1,SIM,GABRIEL
Vasco,1 x 1,Santos,1,NÃO,GABRIEL
Juventude,0 x 1,Vitória,1,NÃO,GABRIEL
São Paulo,1 x 0,Sport,1,NÃO,GABRIEL
Bragantino,1 x 2,Ceará,1,NÃO,GABRIEL
Cruzeiro,2 x 1,Mirassol,1,NÃO,GABRIEL
Grêmio,1 x 0,Atlético-MG,1,NÃO,GABRIEL
Bahia,1 x 0,Corinthians,1,NÃO,GABRIEL
Fortaleza,2 x 1,Fluminense,1,NÃO,GABRIEL
Palmeiras,1 x 0,Botafogo,1,SIM,GABRIEL
Atlético-MG,1 x 0,São Paulo,2,SIM,GABRIEL
Botafogo,2 x 0,Juventude,2,NÃO,GABRIEL
Corinthians,1 x 0,Vasco,2,NÃO,GABRIEL
Santos,1 x 1,Bahia,2,NÃO,GABRIEL
Mirassol,1 x 2,Fortaleza,2,NÃO,GABRIEL
Sport,1 x 2,Palmeiras,2,NÃO,GABRIEL
Fluminense,1 x 0,Bragantino,2,NÃO,GABRIEL
Vitória,1 x 2,Flamengo,2,NÃO,GABRIEL
Ceará,1 x 0,Grêmio,2,NÃO,GABRIEL
Internacional,2 x 1,Cruzeiro,2,SIM,GABRIEL
Palmeiras,1 x 1,Corinthians,3,SIM,GABRIEL
Vasco,1 x 0,Sport,3,NÃO,GABRIEL
Fluminense,0 x 1,Santos,3,NÃO,GABRIEL
São Paulo,1 x 2,Cruzeiro,3,NÃO,GABRIEL
Bragantino,1 x 2,Botafogo,3,NÃO,GABRIEL
Atlético-MG,2 x 0,Vitória,3,NÃO,GABRIEL
Juventude,2 x 1,Ceará,3,NÃO,GABRIEL
Bahia,2 x 1,Mirassol,3,NÃO,GABRIEL
Fortaleza,2 x 2,Internacional,3,NÃO,GABRIEL
Grêmio,1 x 2,Flamengo,3,SIM,GABRIEL
Santos,2 x 1,Atlético-MG,4,SIM,GABRIEL
Botafogo,1 x 0,São Paulo,4,NÃO,GABRIEL
Corinthians,2 x 1,Fluminense,4,NÃO,GABRIEL
Flamengo,2 x 0,Juventude,4,NÃO,GABRIEL
Mirassol,0 x 2,Grêmio,4,NÃO,GABRIEL
Cruzeiro,1 x 2,Bahia,4,NÃO,GABRIEL
Sport,1 x 0,Bragantino,4,NÃO,GABRIEL
Vitória,2 x 1,Fortaleza,4,NÃO,GABRIEL
Ceará,2 x 0,Vasco,4,NÃO,GABRIEL
Internacional,2 x 1,Palmeiras,4,SIM,GABRIEL
Vasco,1 x 2,Flamengo,5,SIM,GABRIEL
Fluminense,1 x 0,Vitória,5,NÃO,GABRIEL
Corinthians,2 x 0,Sport,5,NÃO,GABRIEL
São Paulo,2 x 1,Santos,5,NÃO,GABRIEL
Bragantino,0 x 1,Cruzeiro,5,NÃO,GABRIEL
Atlético-MG,1 x 1,Botafogo,5,NÃO,GABRIEL
Juventude,1 x 0,Mirassol,5,NÃO,GABRIEL
Bahia,2 x 1,Ceará,5,NÃO,GABRIEL
Fortaleza,2 x 1,Palmeiras,5,NÃO,GABRIEL
Grêmio,1 x 0,Internacional,5,SIM,GABRIEL
Flamengo,2 x 1,Corinthians,6,SIM,GABRIEL
Sport,1 x 0,Fortaleza,6,NÃO,GABRIEL
Palmeiras,2 x 1,Bahia,6,NÃO,GABRIEL
Santos,2 x 0,Bragantino,6,NÃO,GABRIEL
Mirassol,1 x 2,Atlético-MG,6,NÃO,GABRIEL
Cruzeiro,2 x 1,Vasco,6,NÃO,GABRIEL
Internacional,2 x 0,Juventude,6,NÃO,GABRIEL
Vitória,0 x 1,Grêmio,6,NÃO,GABRIEL
Ceará,0 x 1,São Paulo,6,NÃO,GABRIEL
Botafogo,2 x 1,Fluminense,6,SIM,GABRIEL
Vasco,0 x 2,Palmeiras,7,SIM,GABRIEL
Fluminense,1 x 0,Sport,7,NÃO,GABRIEL
Corinthians,1 x 1,Internacional,7,NÃO,GABRIEL
São Paulo,2 x 1,Fortaleza,7,NÃO,GABRIEL
Bragantino,1 x 1,Mirassol,7,NÃO,GABRIEL
Juventude,1 x 2,Atlético-MG,7,NÃO,GABRIEL
Grêmio,1 x 0,Santos,7,NÃO,GABRIEL
Bahia,2 x 1,Botafogo,7,NÃO,GABRIEL
Ceará,2 x 1,Vitória,7,NÃO,GABRIEL
Cruzeiro,0 x 1,Flamengo,7,SIM,GABRIEL
Botafogo,2 x 1,Internacional,8,SIM,GABRIEL
Sport,0 x 1,Cruzeiro,8,NÃO,GABRIEL
Flamengo,3 x 1,Bahia,8,NÃO,GABRIEL
Santos,1 x 0,Ceará,8,NÃO,GABRIEL
Mirassol,0 x 2,Corinthians,8,NÃO,GABRIEL
Atlético-MG,2 x 1,Fluminense,8,NÃO,GABRIEL
Grêmio,1 x 0,Bragantino,8,NÃO,GABRIEL
Vitória,2 x 1,Vasco,8,NÃO,GABRIEL
Fortaleza,2 x 0,Juventude,8,NÃO,GABRIEL
Palmeiras,0 x 0,São Paulo,8,SIM,GABRIEL
Flamengo,2 x 1,Internacional,1,SIM,ALLAN
Vasco,2 x 1,Santos,1,NÃO,ALLAN
Juventude,1 x 0,Vitória,1,NÃO,ALLAN
São Paulo,2 x 0,Sport,1,NÃO,ALLAN
Bragantino,1 x 0,Ceará,1,NÃO,ALLAN
Cruzeiro,1 x 0,Mirassol,1,NÃO,ALLAN
Grêmio,1 x 2,Atlético-MG,1,NÃO,ALLAN
Bahia,2 x 3,Corinthians,1,NÃO,ALLAN
Fortaleza,1 x 0,Fluminense,1,NÃO,ALLAN
Palmeiras,1 x 1,Botafogo,1,SIM,ALLAN
Atlético-MG,2 x 1,São Paulo,2,SIM,ALLAN
Botafogo,1 x 0,Juventude,2,NÃO,ALLAN
Corinthians,1 x 1,Vasco,2,NÃO,ALLAN
Santos,2 x 0,Bahia,2,NÃO,ALLAN
Mirassol,1 x 0,Fortaleza,2,NÃO,ALLAN
Sport,1 x 2,Palmeiras,2,NÃO,ALLAN
Fluminense,1 x 0,Bragantino,2,NÃO,ALLAN
Vitória,1 x 2,Flamengo,2,NÃO,ALLAN
Ceará,0 x 0,Grêmio,2,NÃO,ALLAN
Internacional,2 x 1,Cruzeiro,2,SIM,ALLAN
Palmeiras,0 x 1,Corinthians,3,SIM,ALLAN
Vasco,2 x 1,Sport,3,NÃO,ALLAN
Fluminense,1 x 0,Santos,3,NÃO,ALLAN
São Paulo,2 x 1,Cruzeiro,3,NÃO,ALLAN
Bragantino,1 x 0,Botafogo,3,NÃO,ALLAN
Atlético-MG,2 x 0,Vitória,3,NÃO,ALLAN
Juventude,1 x 1,Ceará,3,NÃO,ALLAN
Bahia,3 x 1,Mirassol,3,NÃO,ALLAN
Fortaleza,1 x 0,Internacional,3,NÃO,ALLAN
Grêmio,1 x 2,Flamengo,3,SIM,ALLAN
Santos,1 x 0,Atlético-MG,4,SIM,ALLAN
Botafogo,2 x 1,São Paulo,4,NÃO,ALLAN
Corinthians,3 x 1,Fluminense,4,NÃO,ALLAN
Flamengo,2 x 1,Juventude,4,NÃO,ALLAN
Mirassol,0 x 2,Grêmio,4,NÃO,ALLAN
Cruzeiro,2 x 1,Bahia,4,NÃO,ALLAN
Sport,0 x 2,Bragantino,4,NÃO,ALLAN
Vitória,1 x 0,Fortaleza,4,NÃO,ALLAN
Ceará,1 x 2,Vasco,4,NÃO,ALLAN
Internacional,2 x 1,Palmeiras,4,SIM,ALLAN
Vasco,2 x 1,Flamengo,5,SIM,ALLAN
Fluminense,2 x 1,Vitória,5,NÃO,ALLAN
Corinthians,2 x 0,Sport,5,NÃO,ALLAN
São Paulo,1 x 0,Santos,5,NÃO,ALLAN
Bragantino,1 x 0,Cruzeiro,5,NÃO,ALLAN
Atlético-MG,2 x 0,Botafogo,5,NÃO,ALLAN
Juventude,3 x 1,Mirassol,5,NÃO,ALLAN
Bahia,2 x 1,Ceará,5,NÃO,ALLAN
Fortaleza,1 x 2,Palmeiras,5,NÃO,ALLAN
Grêmio,0 x 2,Internacional,5,SIM,ALLAN
Flamengo,0 x 1,Corinthians,6,SIM,ALLAN
Sport,1 x 0,Fortaleza,6,NÃO,ALLAN
Palmeiras,2 x 0,Bahia,6,NÃO,ALLAN
Santos,2 x 1,Bragantino,6,NÃO,ALLAN
Mirassol,0 x 2,Atlético-MG,6,NÃO,ALLAN
Cruzeiro,0 x 1,Vasco,6,NÃO,ALLAN
Internacional,2 x 1,Juventude,6,NÃO,ALLAN
Vitória,0 x 2,Grêmio,6,NÃO,ALLAN
Ceará,1 x 1,São Paulo,6,NÃO,ALLAN
Botafogo,2 x 1,Fluminense,6,SIM,ALLAN
Vasco,1 x 1,Palmeiras,7,SIM,ALLAN
Fluminense,2 x 0,Sport,7,NÃO,ALLAN
Corinthians,2 x 1,Internacional,7,NÃO,ALLAN
São Paulo,1 x 0,Fortaleza,7,NÃO,ALLAN
Bragantino,2 x 0,Mirassol,7,NÃO,ALLAN
Juventude,1 x 2,Atlético-MG,7,NÃO,ALLAN
Grêmio,1 x 0,Santos,7,NÃO,ALLAN
Bahia,3 x 1,Botafogo,7,NÃO,ALLAN
Ceará,1 x 0,Vitória,7,NÃO,ALLAN
Cruzeiro,2 x 3,Flamengo,7,SIM,ALLAN
Botafogo,1 x 0,Internacional,8,SIM,ALLAN
Sport,1 x 0,Cruzeiro,8,NÃO,ALLAN
Flamengo,2 x 1,Bahia,8,NÃO,ALLAN
Santos,2 x 1,Ceará,8,NÃO,ALLAN
Mirassol,0 x 3,Corinthians,8,NÃO,ALLAN
Atlético-MG,2 x 0,Fluminense,8,NÃO,ALLAN
Grêmio,1 x 1,Bragantino,8,NÃO,ALLAN
Vitória,1 x 2,Vasco,8,NÃO,ALLAN
Fortaleza,2 x 0,Juventude,8,NÃO,ALLAN
Palmeiras,2 x 1,São Paulo,8,SIM,ALLAN
Flamengo,2 x 1,Internacional,1,SIM,LORRAN
Vasco,1 x 1,Santos,1,NÃO,LORRAN
Juventude,1 x 1,Vitória,1,NÃO,LORRAN
São Paulo,2 x 0,Sport,1,NÃO,LORRAN
Bragantino,2 x 1,Ceará,1,NÃO,LORRAN
Cruzeiro,2 x 0,Mirassol,1,NÃO,LORRAN
Grêmio,1 x 1,Atlético-MG,1,NÃO,LORRAN
Bahia,1 x 0,Corinthians,1,NÃO,LORRAN
Fortaleza,2 x 1,Fluminense,1,NÃO,LORRAN
Palmeiras,2 x 1,Botafogo,1,SIM,LORRAN
Atlético-MG,1 x 0,São Paulo,2,SIM,LORRAN
Botafogo,2 x 0,Juventude,2,NÃO,LORRAN
Corinthians,2 x 1,Vasco,2,NÃO,LORRAN
Santos,2 x 1,Bahia,2,NÃO,LORRAN
Mirassol,1 x 1,Fortaleza,2,NÃO,LORRAN
Sport,0 x 2,Palmeiras,2,NÃO,LORRAN
Fluminense,2 x 1,Bragantino,2,NÃO,LORRAN
Vitória,0 x 2,Flamengo,2,NÃO,LORRAN
Ceará,1 x 1,Grêmio,2,NÃO,LORRAN
Internacional,2 x 1,Cruzeiro,2,SIM,LORRAN
Palmeiras,1 x 1,Corinthians,3,SIM,LORRAN
Vasco,2 x 1,Sport,3,NÃO,LORRAN
Fluminense,1 x 1,Santos,3,NÃO,LORRAN
São Paulo,2 x 1,Cruzeiro,3,NÃO,LORRAN
Bragantino,0 x 1,Botafogo,3,NÃO,LORRAN
Atlético-MG,2 x 0,Vitória,3,NÃO,LORRAN
Juventude,1 x 0,Ceará,3,NÃO,LORRAN
Bahia,2 x 0,Mirassol,3,NÃO,LORRAN
Fortaleza,1 x 1,Internacional,3,NÃO,LORRAN
Grêmio,1 x 2,Flamengo,3,SIM,LORRAN
Santos,2 x 1,Atlético-MG,4,SIM,LORRAN
Botafogo,1 x 1,São Paulo,4,NÃO,LORRAN
Corinthians,1 x 0,Fluminense,4,NÃO,LORRAN
Flamengo,2 x 0,Juventude,4,NÃO,LORRAN
Mirassol,1 x 0,Grêmio,4,NÃO,LORRAN
Cruzeiro,2 x 1,Bahia,4,NÃO,LORRAN
Sport,1 x 1,Bragantino,4,NÃO,LORRAN
Vitória,0 x 1,Fortaleza,4,NÃO,LORRAN
Ceará,1 x 1,Vasco,4,NÃO,LORRAN
Internacional,2 x 1,Palmeiras,4,SIM,LORRAN
Vasco,1 x 2,Flamengo,5,SIM,LORRAN
Fluminense,2 x 0,Vitória,5,NÃO,LORRAN
Corinthians,2 x 0,Sport,5,NÃO,LORRAN
São Paulo,1 x 1,Santos,5,NÃO,LORRAN
Bragantino,1 x 2,Cruzeiro,5,NÃO,LORRAN
Atlético-MG,1 x 1,Botafogo,5,NÃO,LORRAN
Juventude,1 x 0,Mirassol,5,NÃO,LORRAN
Bahia,2 x 1,Ceará,5,NÃO,LORRAN
Fortaleza,1 x 1,Palmeiras,5,NÃO,LORRAN
Grêmio,0 x 2,Internacional,5,SIM,LORRAN
Flamengo,2 x 0,Corinthians,6,SIM,LORRAN
Sport,1 x 1,Fortaleza,6,NÃO,LORRAN
Palmeiras,2 x 0,Bahia,6,NÃO,LORRAN
Santos,1 x 1,Bragantino,6,NÃO,LORRAN
Mirassol,0 x 1,Atlético-MG,6,NÃO,LORRAN
Cruzeiro,2 x 0,Vasco,6,NÃO,LORRAN
Internacional,2 x 0,Juventude,6,NÃO,LORRAN
Vitória,1 x 0,Grêmio,6,NÃO,LORRAN
Ceará,1 x 2,São Paulo,6,NÃO,LORRAN
Botafogo,1 x 1,Fluminense,6,SIM,LORRAN
Vasco,1 x 2,Palmeiras,7,SIM,LORRAN
Fluminense,2 x 0,Sport,7,NÃO,LORRAN
Corinthians,1 x 1,Internacional,7,NÃO,LORRAN
São Paulo,2 x 1,Fortaleza,7,NÃO,LORRAN
Bragantino,2 x 0,Mirassol,7,NÃO,LORRAN
Juventude,1 x 2,Atlético-MG,7,NÃO,LORRAN
Grêmio,1 x 1,Santos,7,NÃO,LORRAN
Bahia,1 x 1,Botafogo,7,NÃO,LORRAN
Ceará,2 x 1,Vitória,7,NÃO,LORRAN
Cruzeiro,0 x 1,Flamengo,7,SIM,LORRAN
Botafogo,1 x 1,Internacional,8,SIM,LORRAN
Sport,0 x 1,Cruzeiro,8,NÃO,LORRAN
Flamengo,2 x 0,Bahia,8,NÃO,LORRAN
Santos,1 x 0,Ceará,8,NÃO,LORRAN
Mirassol,1 x 2,Corinthians,8,NÃO,LORRAN
Atlético-MG,2 x 1,Fluminense,8,NÃO,LORRAN
Grêmio,1 x 0,Bragantino,8,NÃO,LORRAN
Vitória,1 x 1,Vasco,8,NÃO,LORRAN
Fortaleza,2 x 0,Juventude,8,NÃO,LORRAN
Palmeiras,1 x 1,São Paulo,8,SIM,LORRAN
Flamengo,2 x 1,Internacional,1,SIM,SHESLEY
Vasco,1 x 0,Santos,1,NÃO,SHESLEY
Juventude,2 x 0,Vitória,1,NÃO,SHESLEY
São Paulo,2 x 0,Sport,1,NÃO,SHESLEY
Bragantino,1 x 1,Ceará,1,NÃO,SHESLEY
Cruzeiro,2 x 1,Mirassol,1,NÃO,SHESLEY
Grêmio,1 x 2,Atlético-MG,1,NÃO,SHESLEY
Bahia,0 x 1,Corinthians,1,NÃO,SHESLEY
Fortaleza,2 x 1,Fluminense,1,NÃO,SHESLEY
Palmeiras,1 x 1,Botafogo,1,SIM,SHESLEY
Atlético-MG,2 x 1,São Paulo,2,SIM,SHESLEY
Botafogo,3 x 1,Juventude,2,NÃO,SHESLEY
Corinthians,3 x 0,Vasco,2,NÃO,SHESLEY
Santos,2 x 1,Bahia,2,NÃO,SHESLEY
Mirassol,0 x 0,Fortaleza,2,NÃO,SHESLEY
Sport,1 x 2,Palmeiras,2,NÃO,SHESLEY
Fluminense,2 x 0,Bragantino,2,NÃO,SHESLEY
Vitória,1 x 2,Flamengo,2,NÃO,SHESLEY
Ceará,1 x 1,Grêmio,2,NÃO,SHESLEY
Internacional,2 x 0,Cruzeiro,2,SIM,SHESLEY
Palmeiras,1 x 1,Corinthians,3,SIM,SHESLEY
Vasco,2 x 1,Sport,3,NÃO,SHESLEY
Fluminense,1 x 1,Santos,3,NÃO,SHESLEY
São Paulo,2 x 0,Cruzeiro,3,NÃO,SHESLEY
Bragantino,0 x 1,Botafogo,3,NÃO,SHESLEY
Atlético-MG,3 x 1,Vitória,3,NÃO,SHESLEY
Juventude,1 x 0,Ceará,3,NÃO,SHESLEY
Bahia,2 x 0,Mirassol,3,NÃO,SHESLEY
Fortaleza,1 x 2,Internacional,3,NÃO,SHESLEY
Grêmio,0 x 1,Flamengo,3,SIM,SHESLEY
Santos,2 x 1,Atlético-MG,4,SIM,SHESLEY
Botafogo,2 x 2,São Paulo,4,NÃO,SHESLEY
